Quantity,Transaction,Store,Product
1,13061,6,Toothpaste
1,13061,6,Toothpaste
4,13061,6,Greeting Cards
1,13067,3,Photo Processing
5,13073,8,Greeting Cards
5,13073,8,Candy Bar
5,13073,8,Magazine
2,13076,1,Soap
2,13082,4,Magazine
2,13082,4,Candy Bar
2,13082,4,Candy Bar
2,13082,4,Candy Bar
2,13082,4,Greeting Cards
1,13091,5,Pencils
2,13097,2,Pencils
1,13100,7,Markers
2,13100,7,Toothpaste
2,13100,7,Toothpaste
2,13100,7,Toothpaste
2,13100,7,Toothpaste
5,13100,7,Greeting Cards
1,13106,1,Toothpaste
1,13106,1,Toothpaste
1,13106,1,Toothpaste
1,13106,1,Toothpaste
4,13115,10,Markers
6,13130,10,Candy Bar
6,13130,10,Candy Bar
3,13142,4,Greeting Cards
1,13142,4,Toothpaste
1,13142,4,Toothpaste
1,13142,4,Toothpaste
1,13142,4,Toothpaste
1,13142,4,Pens
1,13142,4,Magazine
1,13145,8,Toothpaste
1,13148,8,Pens
3,13154,2,Magazine
1,13163,8,Greeting Cards
1,13163,8,Greeting Cards
1,13163,8,Greeting Cards
1,13166,6,Greeting Cards
1,13166,6,Greeting Cards
1,13172,2,Photo Processing
1,13175,1,Toothpaste
1,13181,10,Pencils
7,13184,8,Pain Reliever
1,13187,4,Candy Bar
1,13187,4,Candy Bar
1,13190,5,Candy Bar
1,13193,6,Pencils
1,13202,2,Pens
1,13205,9,Pencils
2,13208,4,Greeting Cards
1,13211,2,Greeting Cards
1,13214,1,Pens
1,13238,9,Pens
6,13247,7,Perfume
1,13256,10,Greeting Cards
1,13256,10,Pencils
1,13265,2,Toothpaste
2,13268,1,Toothpaste
1,13271,7,Wrapping Paper
1,13283,8,Toothpaste
1,13283,8,Greeting Cards
1,13283,8,Greeting Cards
1,13292,5,Toothpaste
2,13301,8,Toothpaste
1,13304,1,Toothpaste
1,13310,9,Toothpaste
1,13310,9,Toothpaste
1,13310,9,Magazine
1,13310,9,Magazine
1,13316,6,Wrapping Paper
2,13319,6,Pencils
1,13325,10,Pens
4,13328,9,Magazine
2,13328,9,Perfume
2,13328,9,Toothbrush
4,13331,4,Perfume
1,13334,5,Magazine
1,13334,5,Greeting Cards
1,13334,5,Pencils
1,13343,5,Pens
1,13346,10,Pens
1,13349,4,Pens
2,13352,7,Pens
2,13352,7,Pens
2,13352,7,Pens
1,13355,1,Pens
1,13361,4,Candy Bar
1,13361,4,Magazine
1,13361,4,Greeting Cards
1,13364,4,Toothpaste
2,13379,4,Shampoo
2,13379,4,Shampoo
1,13382,2,Greeting Cards
1,13385,3,Toothpaste
1,13385,3,Candy Bar
1,13394,10,Pens
1,13397,6,Pens
1,13400,10,Toothpaste
1,13406,5,Prescription Med
1,13412,7,Pens
1,13415,3,Photo Processing
1,13415,3,Photo Processing
1,13415,3,Photo Processing
1,13415,3,Photo Processing
1,13415,3,Photo Processing
1,13415,3,Photo Processing
1,13415,3,Magazine
1,13415,3,Magazine
2,13418,4,Toothpaste
2,13418,4,Toothpaste
2,13418,4,Toothpaste
2,13427,4,Perfume
2,13430,2,Perfume
1,13433,4,Perfume
1,13445,8,Candy Bar
1,13448,10,Perfume
1,13451,10,Magazine
1,13457,9,Greeting Cards
1,13460,3,Greeting Cards
1,13463,3,Pencils
1,13466,9,Candy Bar
1,13469,8,Perfume
1,13475,7,Toothbrush
1,13478,2,Pencils
1,13478,2,Pencils
1,13478,2,Pencils
1,13478,2,Pencils
1,13481,7,Pencils
1,13487,2,Candy Bar
1,13505,1,Pens
1,13505,1,Pens
2,13505,1,Magazine
1,13514,2,Magazine
4,13514,2,Soap
2,13514,2,Soap
1,13514,2,Soap
1,13514,2,Soap
1,13514,2,Soap
1,13514,2,Soap
1,13520,2,Soap
4,13523,5,Pain Reliever
1,13535,2,Pens
2,13538,2,Toothpaste
1,13541,2,Pens
1,13541,2,Pens
2,13544,6,Candy Bar
2,13544,6,Greeting Cards
1,13547,5,Pens
1,13550,9,Pens
7,13562,5,Magazine
1,13565,4,Pens
2,13574,4,Photo Processing
2,13583,3,Magazine
2,13589,4,Pens
2,13589,4,Pens
1,13595,4,Magazine
1,13595,4,Pens
1,13595,4,Pens
1,13601,7,Pens
2,13607,4,Pens
2,13607,4,Pens
1,13619,8,Pens
1,13619,8,Pens
1,13619,8,Pens
2,13622,5,Soap
3,13631,4,Pens
1,13631,4,Soap
2,13637,7,Pens
1,13637,7,Pens
1,13637,7,Soap
1,13637,7,Soap
1,13637,7,Soap
1,13637,7,Soap
12,13637,7,Perfume
1,13640,9,Soap
3,13646,4,Soap
12,13652,5,Perfume
1,13652,5,Soap
3,13655,9,Soap
1,13661,5,Greeting Cards
1,13667,6,Perfume
1,13670,2,Candy Bar
2,13679,1,Candy Bar
1,13685,10,Magazine
1,13685,10,Pencils
1,13685,10,Pencils
1,13685,10,Pencils
2,13697,1,Photo Processing
2,13697,1,Photo Processing
2,13697,1,Magazine
2,13697,1,Magazine
1,13700,3,Photo Processing
1,13700,3,Photo Processing
1,13706,2,Candy Bar
4,13724,8,Pencils
2,13724,8,Candy Bar
1,13724,8,Magazine
2,13727,10,Magazine
1,13736,3,Greeting Cards
1,13742,6,Pens
1,13745,9,Magazine
54,13751,6,Toothbrush
1,13754,10,Toothpaste
1,13754,10,Toothpaste
1,13760,8,Magazine
1,13760,8,Magazine
2,13763,7,Toothpaste
4,13763,7,Toothpaste
4,13763,7,Toothpaste
4,13763,7,Toothpaste
2,13763,7,Toothpaste
4,13763,7,Toothpaste
8,13763,7,Magazine
4,13763,7,Magazine
1,13766,2,Photo Processing
1,13766,2,Photo Processing
1,13766,2,Photo Processing
2,13769,4,Greeting Cards
4,13772,3,Toothpaste
2,13775,2,Toothpaste
2,13775,2,Greeting Cards
2,13781,1,Greeting Cards
2,13787,10,Greeting Cards
1,13799,6,Toothpaste
1,13808,3,Pencils
1,13811,7,Pens
1,13817,2,Toothpaste
1,13832,7,Toothpaste
1,13844,8,Magazine
10,13850,5,Deodorant
6,13865,5,Magazine
3,13868,8,Toothpaste
3,13868,8,Magazine
3,13868,8,Pencils
3,13868,8,Candy Bar
3,13868,8,Candy Bar
1,13883,8,Pain Reliever
1,13886,8,Pain Reliever
1,13895,3,Candy Bar
1,13901,9,Magazine
1,13904,3,Candy Bar
1,13904,3,Candy Bar
1,13910,7,Magazine
1,13910,7,Pens
1,13916,1,Perfume
1,13922,10,Toothbrush
1,13928,9,Candy Bar
1,13931,1,Magazine
1,13931,1,Greeting Cards
1,13931,1,Candy Bar
1,13931,1,Candy Bar
1,13937,2,Photo Processing
1,13940,8,Photo Processing
1,13949,5,Toothpaste
1,13964,7,Candy Bar
1,13973,9,Greeting Cards
1,13973,9,Greeting Cards
1,13973,9,Greeting Cards
2,13979,1,Pencils
1,13979,1,Pencils
2,13982,7,Magazine
1,13988,3,Toothpaste
1,13988,3,Toothpaste
1,13988,3,Toothpaste
1,13988,3,Magazine
1,13988,3,Greeting Cards
1,13991,3,Toothpaste
1,13997,7,Greeting Cards
1,13997,7,Greeting Cards
1,14000,6,Pencils
1,14006,5,Photo Processing
1,14012,3,Toothpaste
1,14015,5,Pencils
1,14018,3,Pens
1,14030,4,Photo Processing
2,14036,10,Toothbrush
1,14051,3,Magazine
1,14051,3,Pencils
1,14051,3,Pencils
3,14069,4,Candy Bar
1,14072,10,Pencils
1,14075,9,Pencils
1,14075,9,Magazine
1,14075,9,Greeting Cards
1,14075,9,Greeting Cards
2,14081,9,Photo Processing
3,14081,9,Magazine
2,14081,9,Magazine
1,14087,10,Pens
1,14093,6,Greeting Cards
2,14096,5,Magazine
2,14096,5,Photo Processing
1,14102,6,Pencils
1,14105,6,Greeting Cards
12,14108,8,Greeting Cards
10,14111,3,Pencils
1,14111,3,Pencils
2,14111,3,Pens
1,14111,3,Candy Bar
1,14111,3,Candy Bar
1,14111,3,Candy Bar
1,14111,3,Candy Bar
1,14111,3,Magazine
12,14111,3,Magazine
1,14111,3,Magazine
2,14111,3,Magazine
2,14111,3,Toothpaste
1,14114,2,Pens
2,14114,2,Pens
7,14117,8,Greeting Cards
2,14120,3,Magazine
1,14126,3,Candy Bar
1,14126,3,Candy Bar
1,14135,6,Toothpaste
1,14138,8,Toothpaste
1,14150,8,Photo Processing
2,14150,8,Magazine
2,14162,1,Greeting Cards
3,14168,1,Magazine
1,14177,5,Magazine
1,14180,5,Pencils
3,14189,9,Toothpaste
1,14195,5,Candy Bar
1,14201,2,Candy Bar
1,14207,7,Candy Bar
1,14207,7,Candy Bar
1,14213,6,Pens
1,14243,9,Perfume
2,14246,4,Candy Bar
6,14249,7,Candy Bar
1,14249,7,Candy Bar
7,14249,7,Toothbrush
1,14255,10,Toothpaste
1,14267,8,Toothpaste
1,14267,8,Toothpaste
1,14267,8,Toothpaste
1,14267,8,Toothpaste
1,14270,7,Shampoo
1,14273,10,Toothbrush
5,14279,2,Toothbrush
4,14279,2,Magazine
1,14282,5,Magazine
1,14282,5,Toothpaste
1,14282,5,Toothpaste
1,14282,5,Candy Bar
3,14285,1,Greeting Cards
1,14291,10,Greeting Cards
8,14297,10,Wrapping Paper
6,14300,1,Wrapping Paper
2,14303,3,Candy Bar
2,14303,3,Candy Bar
2,14303,3,Greeting Cards
1,14303,3,Magazine
2,14309,2,Photo Processing
1,14309,2,Photo Processing
1,14309,2,Photo Processing
2,14309,2,Magazine
2,14318,7,Magazine
1,14318,7,Shampoo
1,14324,3,Shampoo
1,14327,1,Toothpaste
2,14327,1,Pencils
2,14330,3,Pencils
1,14333,4,Pencils
1,14333,4,Candy Bar
1,14333,4,Candy Bar
1,14339,9,Pencils
1,14339,9,Pencils
1,14342,7,Magazine
1,14342,7,Greeting Cards
1,14342,7,Greeting Cards
1,14342,7,Greeting Cards
1,14342,7,Pens
1,14345,3,Candy Bar
1,14348,5,Pens
1,14351,1,Candy Bar
1,14354,8,Wrapping Paper
1,14354,8,Wrapping Paper
1,14354,8,Wrapping Paper
1,14354,8,Wrapping Paper
1,14354,8,Wrapping Paper
1,14354,8,Wrapping Paper
1,14354,8,Wrapping Paper
1,14354,8,Wrapping Paper
1,14354,8,Wrapping Paper
1,14354,8,Wrapping Paper
1,14354,8,Prescription Med
1,14354,8,Prescription Med
1,14357,3,Magazine
1,14357,3,Candy Bar
1,14357,3,Candy Bar
1,14366,4,Perfume
2,14369,6,Pens
1,14369,6,Pens
1,14369,6,Magazine
1,14375,10,Magazine
1,14375,10,Pens
2,14378,5,Pens
2,14378,5,Magazine
6,14387,4,Greeting Cards
5,14390,7,Magazine
2,14399,5,Pencils
1,14405,3,Magazine
1,14405,3,Magazine
1,14405,3,Greeting Cards
1,14408,9,Pens
3,14411,6,Pencils
3,14411,6,Pencils
1,14426,10,Magazine
3,14429,4,Pens
2,14432,8,Pens
1,14435,7,Wrapping Paper
1,14435,7,Bow
2,14435,7,Bow
2,14435,7,Bow
2,14435,7,Bow
2,14435,7,Bow
1,14447,9,Magazine
2,14447,9,Magazine
1,14459,7,Magazine
1,14459,7,Wrapping Paper
2,14462,8,Greeting Cards
1,14465,5,Wrapping Paper
1,14465,5,Toothpaste
1,14468,10,Candy Bar
5,14474,3,Shampoo
5,14474,3,Shampoo
15,14474,3,Shampoo
5,14474,3,Toothbrush
1,14477,6,Toothbrush
1,14477,6,Shampoo
1,14477,6,Shampoo
1,14477,6,Shampoo
6,14480,7,Magazine
1,14486,2,Greeting Cards
1,14486,2,Greeting Cards
1,14486,2,Pencils
1,14492,4,Magazine
2,14492,4,Magazine
1,14495,10,Greeting Cards
3,14504,4,Magazine
2,14507,4,Toothpaste
1,14510,4,Greeting Cards
1,14510,4,Candy Bar
1,14513,9,Candy Bar
1,14513,9,Candy Bar
1,14513,9,Magazine
2,14522,5,Bow
1,14525,10,Soap
1,14528,1,Bow
1,14528,1,Bow
1,14534,7,Magazine
14,14540,6,Soap
1,14540,6,Soap
3,14540,6,Perfume
2,14540,6,Perfume
14,14540,6,Toothbrush
1,14546,10,Soap
1,14549,10,Perfume
1,14552,2,Candy Bar
1,14552,2,Candy Bar
1,14552,2,Candy Bar
1,14552,2,Candy Bar
2,14558,2,Magazine
6,14558,2,Magazine
2,14561,7,Magazine
2,14561,7,Candy Bar
2,14567,5,Pencils
2,14567,5,Pencils
2,14570,9,Pencils
1,14576,6,Toothpaste
1,14579,10,Toothpaste
1,14579,10,Pencils
1,14579,10,Pencils
1,14579,10,Candy Bar
1,14579,10,Candy Bar
1,14585,5,Pencils
1,14588,8,Pencils
1,14600,8,Perfume
1,14600,8,Magazine
1,14603,8,Magazine
1,14606,5,Perfume
1,14609,3,Greeting Cards
1,14618,7,Toothpaste
1,14645,8,Toothpaste
1,14645,8,Greeting Cards
1,14654,5,Greeting Cards
1,14657,1,Greeting Cards
1,14657,1,Magazine
1,14657,1,Toothpaste
1,14660,4,Pencils
2,14663,4,Greeting Cards
1,14663,4,Greeting Cards
1,14663,4,Greeting Cards
1,14666,3,Greeting Cards
1,14666,3,Toothpaste
1,14666,3,Toothpaste
1,14666,3,Toothpaste
1,14672,9,Pens
1,14672,9,Magazine
1,14678,2,Toothpaste
1,14690,9,Pencils
2,14693,2,Magazine
2,14693,2,Magazine
2,14693,2,Perfume
2,14693,2,Perfume
2,14693,2,Perfume
2,14693,2,Perfume
1,14714,9,Toothpaste
1,14714,9,Toothpaste
1,14714,9,Pens
1,14720,1,Candy Bar
1,14723,9,Bow
1,14732,2,Magazine
1,14732,2,Perfume
1,14732,2,Toothbrush
1,14741,2,Shampoo
2,14741,2,Shampoo
1,14756,7,Bow
1,14759,4,Candy Bar
1,14765,2,Toothpaste
1,14771,2,Pencils
1,14771,2,Pencils
1,14771,2,Pencils
5,14783,4,Magazine
1,14783,4,Magazine
1,14795,8,Magazine
1,14801,5,Markers
1,14825,1,Wrapping Paper
3,14828,6,Magazine
3,14828,6,Magazine
3,14828,6,Magazine
3,14831,2,Candy Bar
3,14831,2,Greeting Cards
7,14834,9,Magazine
7,14834,9,Magazine
7,14834,9,Candy Bar
3,14843,1,Pens
3,14861,4,Greeting Cards
2,14861,4,Greeting Cards
1,14861,4,Greeting Cards
1,14864,1,Greeting Cards
1,14867,10,Candy Bar
1,14867,10,Candy Bar
2,14876,8,Candy Bar
1,14882,6,Candy Bar
1,14882,6,Greeting Cards
1,14885,5,Candy Bar
1,14888,5,Greeting Cards
2,14897,7,Photo Processing
1,14897,7,Photo Processing
2,14897,7,Photo Processing
2,14897,7,Perfume
2,14897,7,Magazine
2,14897,7,Magazine
1,14900,7,Shampoo
1,14900,7,Shampoo
2,14900,7,Shampoo
2,14900,7,Shampoo
1,14900,7,Magazine
2,14900,7,Magazine
4,14900,7,Toothbrush
1,14906,1,Toothpaste
1,14906,1,Toothpaste
1,14912,10,Magazine
1,14918,10,Toothpaste
1,14924,4,Pencils
1,14924,4,Pencils
1,14924,4,Greeting Cards
3,14927,3,Candy Bar
2,14927,3,Candy Bar
3,14927,3,Candy Bar
3,14927,3,Toothpaste
3,14927,3,Toothpaste
3,14927,3,Pencils
1,14930,6,Bow
1,14930,6,Bow
2,14930,6,Bow
2,14930,6,Bow
2,14930,6,Bow
2,14930,6,Bow
8,14930,6,Toothbrush
2,14933,10,Bow
2,14933,10,Bow
1,14942,9,Perfume
2,14948,8,Toothbrush
2,14948,8,Perfume
3,14948,8,Shampoo
1,14948,8,Shampoo
1,14948,8,Magazine
2,14948,8,Magazine
3,14948,8,Wrapping Paper
2,14957,10,Pencils
6,14957,10,Pencils
6,14957,10,Pencils
1,14960,2,Pencils
2,14963,2,Magazine
1,14972,7,Toothpaste
1,14975,1,Wrapping Paper
10,14984,10,Wrapping Paper
10,14984,10,Wrapping Paper
10,14984,10,Wrapping Paper
10,14984,10,Wrapping Paper
10,14984,10,Wrapping Paper
10,14984,10,Wrapping Paper
10,14984,10,Wrapping Paper
10,14984,10,Wrapping Paper
4,14984,10,Toothbrush
2,14984,10,Soap
2,14984,10,Soap
2,14984,10,Soap
2,14984,10,Soap
10,14984,10,Magazine
6,14990,8,Wrapping Paper
1,14993,6,Shampoo
1,14993,6,Perfume
1,14999,1,Magazine
1,14999,1,Magazine
1,14999,1,Pens
1,15002,1,Toothpaste
1,15014,4,Pain Reliever
1,15017,1,Greeting Cards
1,15017,1,Pencils
1,15026,2,Candy Bar
1,15026,2,Magazine
1,15038,5,Candy Bar
1,15038,5,Candy Bar
1,15038,5,Pencils
2,15038,5,Magazine
1,15038,5,Magazine
1,15041,10,Pencils
2,15044,7,Magazine
1,15044,7,Toothpaste
1,15059,9,Candy Bar
1,15059,9,Candy Bar
2,15074,6,Pencils
1,15074,6,Toothpaste
1,15074,6,Toothpaste
2,15074,6,Magazine
1,15080,2,Soap
2,15086,3,Soap
2,15089,2,Pens
4,15089,2,Pens
1,15095,4,Soap
1,15104,2,Magazine
1,15119,10,Magazine
1,15122,8,Magazine
1,15128,3,Magazine
1,15131,4,Wrapping Paper
1,15131,4,Wrapping Paper
1,15131,4,Wrapping Paper
1,15131,4,Wrapping Paper
1,15131,4,Prescription Med
1,15134,4,Wrapping Paper
1,15137,4,Candy Bar
1,15143,10,Pens
1,15143,10,Pencils
1,15149,7,Pencils
1,15158,5,Candy Bar
2,15161,7,Greeting Cards
1,15176,6,Soap
1,15182,7,Photo Processing
4,15188,4,Photo Processing
1,15194,4,Magazine
1,15194,4,Greeting Cards
3,15200,9,Magazine
2,15200,9,Magazine
2,15200,9,Magazine
1,15206,9,Candy Bar
1,15215,10,Wrapping Paper
1,15215,10,Toothbrush
1,15218,10,Magazine
1,15218,10,Candy Bar
1,15224,1,Wrapping Paper
3,15239,1,Prescription Med
1,15257,5,Bow
1,15263,7,Wrapping Paper
3,15272,2,Magazine
3,15272,2,Magazine
1,15272,2,Magazine
1,15272,2,Magazine
1,15272,2,Magazine
1,15272,2,Magazine
1,15272,2,Magazine
3,15275,4,Pens
1,15275,4,Perfume
3,15275,4,Perfume
1,15275,4,Photo Processing
1,15275,4,Photo Processing
1,15275,4,Toothpaste
1,15275,4,Toothpaste
1,15275,4,Toothpaste
1,15275,4,Toothpaste
2,15275,4,Toothpaste
4,15275,4,Greeting Cards
1,15284,5,Deodorant
1,15284,5,Deodorant
1,15287,7,Deodorant
1,15287,7,Deodorant
1,15290,2,Magazine
1,15290,2,Magazine
1,15305,7,Magazine
1,15311,9,Wrapping Paper
2,15314,4,Candy Bar
2,15314,4,Candy Bar
1,15317,8,Pens
1,15323,10,Greeting Cards
1,15323,10,Toothpaste
2,15326,6,Pencils
2,15335,8,Greeting Cards
1,15344,4,Pain Reliever
9,15347,9,Pain Reliever
1,15362,6,Pencils
1,15362,6,Pencils
1,15362,6,Pencils
1,15365,2,Pens
1,15368,10,Toothpaste
1,15371,9,Toothpaste
1,15371,9,Toothpaste
2,15371,9,Toothpaste
1,15371,9,Toothpaste
1,15371,9,Magazine
1,15371,9,Pencils
1,15380,2,Pens
1,15383,6,Pencils
2,15386,3,Pencils
2,15386,3,Candy Bar
1,15395,10,Wrapping Paper
1,15395,10,Prescription Med
1,15395,10,Prescription Med
1,15395,10,Prescription Med
1,15398,10,Pens
2,15404,9,Greeting Cards
1,15410,2,Pens
1,15419,2,Soap
1,15419,2,Soap
1,15425,10,Soap
1,15425,10,Magazine
1,15428,5,Soap
2,15428,5,Soap
2,15428,5,Soap
1,15440,7,Wrapping Paper
1,15440,7,Wrapping Paper
1,15440,7,Wrapping Paper
1,15440,7,Wrapping Paper
1,15440,7,Wrapping Paper
1,15440,7,Wrapping Paper
2,15440,7,Wrapping Paper
1,15440,7,Wrapping Paper
1,15440,7,Wrapping Paper
2,15440,7,Wrapping Paper
1,15440,7,Wrapping Paper
1,15452,8,Magazine
1,15452,8,Magazine
1,15452,8,Greeting Cards
1,15452,8,Pencils
1,15455,5,Pens
10,15464,2,Pens
10,15470,7,Pens
14,15470,7,Pens
3,15473,6,Wrapping Paper
1,15476,7,Magazine
3,15482,4,Pens
3,15482,4,Pens
3,15485,2,Pens
2,15491,9,Pens
1,15497,2,Toothpaste
8,15500,5,Soap
8,15500,5,Soap
8,15500,5,Soap
13,15500,5,Soap
8,15500,5,Soap
8,15500,5,Soap
2,15500,5,Wrapping Paper
1,15500,5,Toothpaste
1,15509,1,Shampoo
1,15512,4,Soap
1,15518,10,Soap
1,15518,10,Soap
1,15518,10,Soap
1,15518,10,Soap
4,15524,1,Soap
1,15527,8,Toothpaste
1,15533,1,Pencils
1,15533,1,Candy Bar
1,15533,1,Greeting Cards
1,15533,1,Greeting Cards
2,15536,10,Greeting Cards
2,15536,10,Greeting Cards
2,15536,10,Magazine
2,15539,3,Pens
1,15542,7,Pencils
14,15545,9,Magazine
24,15545,9,Magazine
1,15551,3,Magazine
1,15551,3,Magazine
10,15551,3,Magazine
1,15551,3,Magazine
4,15551,3,Magazine
6,15557,4,Magazine
10,15557,4,Magazine
6,15557,4,Magazine
6,15557,4,Magazine
20,15557,4,Magazine
14,15557,4,Magazine
38,15557,4,Magazine
64,15560,2,Magazine
1,15563,3,Photo Processing
